Movie,DomesticTotal,PrevFilmDomestic,Year,Budget,IsVideoGame,IsSpringRelease,RottenTomatoes,PocornMeter
Inside Out 2,652980194,356461711,2024,200000000,0,0,98,89
Incredibles 2,608581744,261441092,2018,200000000,0,0,97,75
Finding Dory,486295561,339714978,2016,200000000,0,0,99,86
Frozen 2,477373578,400953009,2019,150000000,0,0,89,85
Moana 2,460405297,248757044,2024,150000000,0,0,95,89
Toy Story 4,434038008,415004880,2019,200000000,0,0,98,90
Toy Story 3,415004880,245852179,2010,200000000,0,0,100,87
Zootopia 2,428047935,341268248,2025,150000000,0,0,98,92
Despicable Me 2,368065385,251683815,2013,76000000,0,0,80,83
Despicable Me 3,264624300,368065385,2017,80000000,0,0,75,85
Despicable Me 4,361004205,264624300,2024,100000000,0,0,58,53
Minions: The Rise of Gru,370549695,336045770,2022,80000000,0,0,55,49
Monsters University,268492764,290642256,2013,200000000,0,0,96,90
How to Train Your Dragon 2,177002924,262958100,2014,145000000,0,0,99,91
How to Train Your Dragon: The Hidden World,160799505,177002924,2019,129000000,0,0,92,90
Kung Fu Panda 3,143528619,165249063,2016,145000000,0,0,82,74
Kung Fu Panda 4,193590620,143528619,2024,85000000,0,1,87,79
Ralph Breaks the Internet,201091711,189422889,2018,175000000,0,0,87,86
Puss in Boots: The Last Wish,186090535,149260504,2022,90000000,0,0,85,68
Hotel Transylvania 2,169700110,148426305,2015,80000000,0,0,45,72
Hotel Transylvania 3,167510016,169700110,2018,80000000,0,0,57,64
Cars 3,152901115,191452396,2017,175000000,0,0,40,50
Sonic the Hedgehog 2,190872904,148974665,2022,110000000,1,1,64,93
Sonic the Hedgehog 3,236115100,190872904,2024,122000000,1,0,86,95
Shrek Forever After,238736787,322719944,2010,65000000,0,1,41,52
Secret Life of Pets 2,158980250,368623860,2019,80000000,0,0,70,62
Sing 2,162790990,270578425,2021,85000000,0,0,71,73
