"Movie","DomesticTotal","PrevFilmDomestic","Year","Budget","IsVideoGame","IsSpringRelease","logDomesticTotal","logPrevFilmDomestic","logBudget"
"Inside Out 2",652980194,356461711,2024,2e+08,"0","0",20.2970573559997,19.691737389526,19.1138279245123
"Incredibles 2",608581744,261441092,2018,2e+08,"0","0",20.2266417982635,19.3817195464938,19.1138279245123
"Finding Dory",486295561,339714978,2016,2e+08,"0","0",20.0023271472221,19.6436175240045,19.1138279245123
"Frozen 2",477373578,400953009,2019,1.5e+08,"0","0",19.9838099247153,19.8093547938655,18.8261458520605
"Moana 2",460405297,248757044,2024,1.5e+08,"0","0",19.9476177399587,19.33198725119,18.8261458520605
"Toy Story 4",434038008,415004880,2019,2e+08,"0","0",19.888642664267,19.843800837162,19.1138279245123
"Toy Story 3",415004880,245852179,2010,2e+08,"0","0",19.843800837162,19.3202410149109,19.1138279245123
"Zootopia 2",428047935,341268248,2025,1.5e+08,"0","0",19.8747457449384,19.6481793770264,18.8261458520605
"Despicable Me 2",368065385,251683815,2013,7.6e+07,"0","0",19.723771156981,19.3436841552967,18.1462438982506
"Despicable Me 3",264624300,368065385,2017,8e+07,"0","0",19.3938216421631,19.723771156981,18.1975371926382
"Despicable Me 4",361004205,264624300,2024,1e+08,"0","0",19.7044001644288,19.3938216421631,18.4206807439524
"Minions: The Rise of Gru",370549695,336045770,2022,8e+07,"0","0",19.7304981232605,19.6327579288884,18.1975371926382
"Monsters University",268492764,290642256,2013,2e+08,"0","0",19.4083345218294,19.4876037080271,19.1138279245123
"How to Train Your Dragon 2",177002924,262958100,2014,1.45e+08,"0","0",18.9916768101757,19.3875052618606,18.7922443003848
"How to Train Your Dragon: The Hidden World",160799505,177002924,2019,1.29e+08,"0","0",18.8956688363462,18.9916768101757,18.6753229623259
"Kung Fu Panda 3",143528619,165249063,2016,1.45e+08,"0","0",18.7820450088194,18.9229643664833,18.7922443003848
"Kung Fu Panda 4",193590620,143528619,2024,8.5e+07,"0","1",19.0812562812198,18.7820450088194,18.2581618144546
"Ralph Breaks the Internet",201091711,189422889,2018,1.75e+08,"0","0",19.119271635594,19.0594925814673,18.9802965318878
"Puss in Boots: The Last Wish",186090535,149260504,2022,9e+07,"0","0",19.0417438605663,18.82120368632,18.3153202282945
"Hotel Transylvania 2",169700110,148426305,2015,8e+07,"0","0",18.949543378407,18.8155991304017,18.1975371926382
"Hotel Transylvania 3",167510016,169700110,2018,8e+07,"0","0",18.9365537044565,18.949543378407,18.1975371926382
"Cars 3",152901115,191452396,2017,1.75e+08,"0","0",18.8453019632206,19.0701497508262,18.9802965318878
"Sonic the Hedgehog 2",190872904,148974665,2022,1.1e+08,"1","1",19.0671183404343,18.8192868158953,18.5159909237567
"Sonic the Hedgehog 3",236115100,190872904,2024,1.22e+08,"1","0",19.2798299559615,19.0671183404343,18.6195316026975
"Shrek Forever After",238736787,322719944,2010,6.5e+07,"0","1",19.2908721933853,19.5922954586451,17.9898978278599
"Secret Life of Pets 2",158980250,368623860,2019,8e+07,"0","0",18.8842905386329,19.7252873325212,18.1975371926382
"Sing 2",162790990,270578425,2021,8.5e+07,"0","0",18.9079776660208,19.4160725402932,18.2581618144546
